Brand,Model,Category,Gender,Size,Color,Material,Price,image_path
Nike,Air Jordan 1,Basketball,Men,US 10,Red/Black,Leather,$170.00,shoely_images/0.jpg
Adidas,Ultra Boost 21,Running,Men,US 9.5,Black,Primeknit,$180.00,shoely_images/1.jpg
Reebok,Classic Leather,Casual,Men,US 11,White,Leather,$75.00,shoely_images/2.jpg
Converse,Chuck Taylor,Casual,Women,US 8,Navy,Canvas,$55.00,shoely_images/3.jpg
Puma,Future Rider,Lifestyle,Women,US 7.5,Pink,Mesh,$80.00,shoely_images/4.jpg
Vans,Old Skool,Skate,Men,US 8.5,Black/White,Suede/Canvas,$65.00,shoely_images/5.jpg
New Balance,990v5,Running,Women,US 6.5,Grey,Suede/Mesh,$175.00,shoely_images/6.jpg
Asics,Gel-Kayano 28,Running,Men,US 10.5,Blue,Mesh,$160.00,shoely_images/7.jpg
Fila,Disruptor II,Fashion,Women,US 9,White,Leather/Synthetic,$65.00,shoely_images/8.jpg
Skechers,Go Run Razor 3,Running,Men,US 9,Black,Mesh,$110.00,shoely_images/9.jpg
Nike,Air Max 270,Running,Women,US 7,Pink,Mesh,$150.00,shoely_images/10.jpg
Adidas,Stan Smith,Casual,Men,US 9,White/Green,Leather,$80.00,shoely_images/11.jpg
Reebok,Club C 85,Casual,Women,US 8.5,Pink,Leather,$70.00,shoely_images/12.jpg
Converse,One Star,Skate,Men,US 10,Black,Suede,$75.00,shoely_images/13.jpg
Puma,RS-Fast,Lifestyle,Men,US 9.5,Yellow,Leather/Synthetic,$110.00,shoely_images/14.jpg
Vans,Authentic,Skate,Women,US 6,White,Canvas,$50.00,shoely_images/15.jpg
New Balance,Fresh Foam 1080v11,Running,Men,US 11.5,Blue,Mesh,$150.00,shoely_images/16.jpg
Asics,Gel-Nimbus 23,Running,Women,US 8,Purple,Mesh,$150.00,shoely_images/17.jpg
Fila,Ray Tracer,Fashion,Men,US 10,Black,Synthetic,$70.00,shoely_images/18.jpg
Skechers,Arch Fit,Walking,Women,US 7.5,Grey,Mesh,$70.00,shoely_images/19.jpg
Nike,Air Force 1,Casual,Men,US 10,White,Leather,$90.00,shoely_images/20.jpg
Adidas,NMD_R1,Running,Women,US 8.5,Black/Pink,Primeknit,$140.00,shoely_images/21.jpg
Reebok,Zig Kinetica II,Running,Men,US 11,White,Mesh,$120.00,shoely_images/22.jpg
Converse,Jack Purcell,Casual,Women,US 7.5,Navy,Canvas,$65.00,shoely_images/23.jpg
Puma,Calibrate Runner,Running,Men,US 9.5,Black,Mesh,$80.00,shoely_images/24.jpg
Vans,Sk8-Hi,Skate,Women,US 8,Black/White,Suede/Canvas,$70.00,shoely_images/25.jpg
New Balance,327,Lifestyle,Men,US 10,Blue/Orange,Suede/Mesh,$90.00,shoely_images/26.jpg
Asics,Gel-Quantum 180,Running,Women,US 9,Grey,Mesh/Synthetic,$120.00,shoely_images/27.jpg
Fila,Mindblower,Fashion,Men,US 8.5,White,Leather/Synthetic,$75.00,shoely_images/28.jpg
Skechers,D'Lites,Walking,Women,US 7,Black,Synthetic,$65.00,shoely_images/29.jpg
Nike,Air Max 2090,Running,Men,US 9,Grey,Mesh,$150.00,shoely_images/30.jpg
Adidas,Adizero Adios 5,Running,Women,US 7.5,Blue,Mesh,$170.00,shoely_images/31.jpg
Reebok,Nano 9,Cross-training,Men,US 10,Black,Mesh/Synthetic,$130.00,shoely_images/32.jpg
Converse,Chuck 70,Casual,Women,US 9,Pink,Canvas,$85.00,shoely_images/33.jpg
Puma,Future Rider Play,Lifestyle,Men,US 9,Black/Red,Synthetic,$90.00,shoely_images/34.jpg
Vans,Slip-On,Skate,Women,US 7,Checkered,Canvas,$50.00,shoely_images/35.jpg
New Balance,574,Casual,Men,US 9,Black/Grey,Suede/Textile,$80.00,shoely_images/36.jpg
Asics,Gel-Kayano 27,Running,Women,US 8.5,Purple,Mesh/Synthetic,$160.00,shoely_images/37.jpg
Fila,Venom,Fashion,Men,US 9.5,White/Red,Leather/Synthetic,$65.00,shoely_images/38.jpg
Skechers,Go Walk 5,Walking,Women,US 7.5,Black,Mesh,$60.00,shoely_images/39.jpg
Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00,shoely_images/40.jpg
Adidas,NMD_R1,Running,Women,US 9,Black,Knit,$140.00,shoely_images/41.jpg
Reebok,Zig Kinetica II,Running,Men,US 9.5,White,Mesh,$120.00,shoely_images/42.jpg
Converse,Jack Purcell,Casual,Men,US 10,White,Canvas,$65.00,shoely_images/43.jpg
Puma,Suede Classic,Casual,Women,US 8.5,Beige,Suede,$65.00,shoely_images/44.jpg
Vans,Sk8-Hi,Skate,Men,US 8,Black/White,Suede/Canvas,$70.00,shoely_images/45.jpg
New Balance,327,Casual,Women,US 7.5,Orange,Suede/Mesh,$100.00,shoely_images/46.jpg
Asics,Gel-Kayano 28,Running,Women,US 7,White,Mesh,$160.00,shoely_images/47.jpg
Fila,Original Fitness,Casual,Men,US 11,White/Navy,Leather,$70.00,shoely_images/48.jpg
Skechers,Go Walk 5,Walking,Women,US 8,Black,Mesh,$60.00,shoely_images/49.jpg
Nike,Free RN 5.0,Running,Men,US 10,Grey,Mesh,$100.00,shoely_images/50.jpg
Adidas,Adilette Cloudfoam,Slides,Women,US 6,Black,Synthetic,$35.00,shoely_images/51.jpg
Reebok,Nano 9,Crossfit,Men,US 10.5,Black,Mesh,$130.00,shoely_images/52.jpg
Converse,Chuck 70,Casual,Women,US 7.5,Pink,Canvas,$85.00,shoely_images/53.jpg
Puma,Clyde All Pro,Basketball,Men,US 9.5,Black/Red,Leather,$130.00,shoely_images/54.jpg
Vans,Era,Skate,Women,US 6.5,White,Canvas,$55.00,shoely_images/55.jpg
New Balance,Fresh Foam More v2,Running,Men,US 12,Black/Grey,Mesh,$165.00,shoely_images/56.jpg
Asics,GT-2000 10,Running,Women,US 7,Blue,Mesh,$120.00,shoely_images/57.jpg
Fila,Mindblower,Casual,Men,US 9.5,White/Blue,Leather/Synthetic,$75.00,shoely_images/58.jpg
Skechers,Dynamight 2.0,Training,Women,US 9,Black,Mesh,$50.00,shoely_images/59.jpg
Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00,shoely_images/60.jpg
Adidas,NMD_R1,Lifestyle,Women,US 7,Pink,Primeknit,$130.00,shoely_images/61.jpg
Reebok,Nano X1,Training,Men,US 9,Black,Knit,$130.00,shoely_images/62.jpg
Converse,Chuck 70,Casual,Women,US 8.5,Yellow,Canvas,$85.00,shoely_images/63.jpg
Puma,Clyde All-Pro,Basketball,Men,US 10,Red,Leather,$130.00,shoely_images/64.jpg
Vans,Sk8-Hi,Skate,Women,US 7,Black,Suede,$70.00,shoely_images/65.jpg
New Balance,Fresh Foam 1080v11,Running,Women,US 8,Green,Mesh,$150.00,shoely_images/66.jpg
Asics,Gel-Quantum 360,Running,Men,US 11,Blue,Mesh,$170.00,shoely_images/67.jpg
Fila,D-Formation,Casual,Women,US 8.5,White,Leather,$65.00,shoely_images/68.jpg
Skechers,Max Cushioning,Running,Men,US 8.5,Black,Mesh,$90.00,shoely_images/69.jpg
Nike,Air Max 90,Lifestyle,Women,US 6,Grey,Leather,$120.00,shoely_images/70.jpg
Adidas,Yeezy Boost 350,Lifestyle,Men,US 10,Black,Primeknit,$220.00,shoely_images/71.jpg
Reebok,Classic Nylon,Casual,Women,US 7.5,Pink,Nylon,$65.00,shoely_images/72.jpg
Converse,Jack Purcell,Casual,Men,US 9,White,Canvas,$65.00,shoely_images/73.jpg
Puma,Calibrate Runner,Running,Women,US 9,Grey,Mesh,$120.00,shoely_images/74.jpg
Vans,Era,Skate,Men,US 9.5,Red,Canvas,$50.00,shoely_images/75.jpg
New Balance,FuelCell Echo,Running,Women,US 7,Pink,Mesh,$100.00,shoely_images/76.jpg
Asics,GT-2000 9,Running,Men,US 10.5,Black,Mesh,$120.00,shoely_images/77.jpg
Fila,Original Fitness,Casual,Women,US 7,White,Leather,$60.00,shoely_images/78.jpg
Skechers,Elite Flex,Walking,Men,US 10,Navy,Mesh,$65.00,shoely_images/79.jpg
